Particulars of the Claim,Category
It was contracted by Mr A to fabricate/install cantilever gate. We fabricated and began installation. When installing gate it became apparent the builder had modified levels it became difficult to install the gate. We offered to remove the gate and refund customer/customer keeps gate and we keep deposit. The customer chose to keep the gate plus he wanted 50%5 of deposit returned plus additional accessories to complete installation himself. The Claimant claim interest under section 69 of the County Court Act 1984 at the rate of 8% a year from 11/1/2021 to 29/1/2021 on £2940.00 and also interest at the same rate up to the date of judgment or earlier payment at a daily rate of £4.08p,Commercial
"Claimant was injured whilst working and the claim is for psychiatric injury arising from an incident, where the Claimant was indecently assaulted. Breach of health and safety and duty of care by the defendants.",Personal Injury
"A witnessed agreement was signed by defendant on the 8th June 2016 to pay £39,000 at £125 per week being monies owed to company. Only three payments were made and despite promises to pay no more was paid. The Claimant claims interest under section 69 of the County Court Act 1984 at the rate of 8% a year from 8/6/2016 to 6/11/2018 on £38625.00.",Commercial
The Claimant at all material times was in the business oof leasing machinery. The Claimant entered into an agreement with the Defendant. The agreement dated 20th April 2015 was for the hire of truck for 6 months at a monthly rate of £424.62 and the agreement dated 23rd October 2015 for the hire of Hyundai trucks for 6 months at a monthly rental of £712.52. Defendant failed to pay the rental agreement and kept the trucks for some 7 months causing damage to the vehicles.,Commercial
"The Claimant claims for breach of contract and negligence and a breach of rust and or fiduciary duty with respect to transactions and conveyancing regarding real property 15 properties in total, which transactions and conveyancing were dealt with by the defendant on behalf of the claimant pursuant to a continuing retainer and/ or pursuant. To an assumed repressibility and/or pursuant of trust. The Claimant will claim unspecified damages and where appropriate equitable/legal remedies including specific performance together with damages.",Commercial
The Claimant is 70 years of age and the defendant is her daughter. In August 2018 the Claimant purportedly executed a TR1 by which she transferred the property owned by her mother to herself as gift of deed. The Defendant was subsequently registered as proprietor of the property on 9th April 2019. The Claimant seeks to set aside the transfer on the basis that she was procured to make the transfer as a result of undue influence exercised by the Defendant and also that she lacked capacity to make the transfer.,Commercial
On the 16th March 2015 the Claimant was the driver of motor car when a collision occurred between two vehicles. The collision was caused by the negligent driving of the defendant and as a result injury was caused to the Claimant.,Personal Injury
"The Claimant was a patient of the first defendant undergoing treatment. On the 10th May 2015 the Claimant attended the first/second defendants for treatment of a urinary tract infection. The Claimant was prescribed medication for 14 days by first defendant. Having consumed the medication, the Claimant experience pain and was admitted into hospital. It was at this point that the correct diagnosis was found, and treatment administered. Claimant sustained injury to the kidney as a result of misdiagnosis.",Personal Injury
"Claimant entered into a loan agreement on the 16th October 2014 under which he agreed to pay the sum of £250,000 which formed part of a 10 million euro deposit for acquisition of a company in Germany. The money was transferred to a foreign exchange dealer in London by a solicitor. Claimant was unable to locate the money.",Commercial
The Claimant is seeking damages for slipping on the deck of a cruise ship which was wet. The Claimant states that the deck was wet at the time causing him to slip causing injury to ankle and foot.,Personal Injury
The Claimant was under the National health service undergoing treatment for tonsillectomy. After the operation the Claimant was discharged but during the night had severe bleeding. On attending A and E the Claimant was not triaged and resulted in over a litre of blood being lost causing her to collapse. Claimant resulted in having Post traumatic stress disorder.,Personal Injury
"The Claimant seeks an Order setting aside the Land transactions such that the ownership of the land being the subject thereto reverts as to half of the estate of the deceased in pursuant of the terms of the 2014 will and half as to the Defendants, they both having inherited equally the share of the estate.",Will and probate
"The Claim within the scheme for construction contracts. The agreement with our customer provides for interim payments and for invoices to be paid within 14 days, which is also repeated on the invoice. Defendant has failed to pay the invoice for £36,200. The claimant claims interest under section 69 of the County Courts Act 1984 at the rate of 8% a year from 10/2/2017 to 11/2/2018.",Commercial
"The claim is for £53,375.39 allegedly misappropriated from late father accounts and value of mobility van. This has not been returned to the estate. The claim is substantiated by the letter from the Office of Public Guardian dated 10th May 2012 stating that after investigation, imminent court action was to be taken against the Defendant. The court act did not take place as the Office of Public Guardian jurisdiction ceased on death of father. The Defendant has made no offer to repay the monies to the estate. ",Will and probate
"The Claimant trades as ABC project management services to the Defendant and made payments on its behalf in respect of the Defendants development of properties. The agreement to provide such service was evidence by letter dated 10th April 2015 and various emails and attached valuation signed by the Defendant. The Claimant raising invoices that have not been paid by the Defendant for the sum of £33,000 irrespective that numerous requests for payments have been made.",Commercial
Claimant is making a claim against his brother for the non-payment of various loans made to the Defendant over a period of 10 years. These loans together with interest come to the sum of 2.2 million. The Claimant has made a number of requests for the monies to be repaid by only a small percentage of the money has been repaid. The Defendant is stating all money has been repaid.,Commercial
The Claim arises out of a road traffic accident on the 18th May 2016 where by the Claimant sustained serious back injuries due to the Defendant driving at speed and failing to stop at a pedestrian crossing.,Personal Injury
"At the material time the first, second and third claimants were passengers of a motor vehicle, when the Defendant who was driving another motor vehicle that being an articulated lorry and failed to stop at traffic lights. The lorry collided with the rear of the Claimants vehicle. The negligence of the Defendant caused Personal Injury to all three passengers, resulting in back and neck injuries.",Personal Injury
"The Claimant is claiming for injuries resulting from a road traffic accident where the Defendant was driving a motorcycle and mounted the pavement at speed hitting the Claimant causing serious injuries. This accident occurred on Memory lane, Oxford ON THE 10TH November 2015.",Personal Injury
The Claimant was driving a ford Fiesta on the 10th April 2014 when the Defendant drove a tractor out of a side lane with the forks of the tractor centred in the middle. The forks went straight into the fiesta and caused serious injury to the Claimant which are life changing. The accident occurred due to negligence of the Defendant.,Personal Injury
